How much does a Data Analyst make in Egypt?,,,,
yrs of exp,salary in EGP,,,
0-1,6000,,,
1-3,13000,,,
4-6,28500,,How much does a Data Developer make in Egypt?,
7-9,23000,,yrs of exp,salary in EGP
10-14,28000,,0-1,5000
15+,29550,,1-3,16000
,,,4-6,36500
,,,7-9,NULL
How much does a Data Analyst make in Egypt?,,,10-14,NULL
yrs of exp,salary in EGP,,15+,NULL
0-1,9250,,,
1-3,13000,,,
4-6,30000,,,
7-9,NULL,,,
10-14,NULL,,,
15+,NULL,,,
,,,,
,,,,
How much does a Data Scientist make in Egypt?,,,,
yrs of exp,salary in EGP,,,
0-1,14000,,,
1-3,20000,,,
4-6,44000,,,
7-9,NULL,,,
10-14,NULL,,,
15+,NULL,,,
